Date,Airline,Departure,Arrival,OverallRating,ReportLink
23/05/2023,Ryanair,PRGPrague Václava Havla Praha ,KRKKrakow J. Paul II Balice Intl ,5,../flightlog/report_574926_Ryanair_4069.htm
21/05/2023,Azul Linhas Aereas,SDURio De Janeiro Santos Dumont ,CGHSao Paulo Congonhas Int'l ,10,../flightlog/report_577807_Azul Linhas Aereas_4203.htm
20/05/2023,Lufthansa,IKAImam Khomeini  ,FRAFrankfurt Frankfurt Main ,9,../flightlog/report_574587_Lufthansa_601.htm
19/05/2023,Azul Linhas Aereas,CGHSao Paulo Congonhas Int'l ,SDURio De Janeiro Santos Dumont ,10,../flightlog/report_577806_Azul Linhas Aereas_6052.htm
18/05/2023,American Airlines,AMSAmsterdam Schiphol ,PHLPhiladelphia  International - Pennsylvania,8,../flightlog/report_574473_American Airlines_203.htm
14/05/2023,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,AMSAmsterdam Schiphol ,10,../flightlog/report_574264_Delta Air Lines_46.htm
09/05/2023,Delta Air Lines,BOSBoston Logan Int'l Airport - Massachusetts,JFKNew York John F Kennedy Int'l - New York,8,../flightlog/report_573846_Delta Air Lines_5848.htm
09/05/2023,Aegean Airlines,LHRLondon Heathrow ,ATHAthens Eleftherios Venizelos ,10,../flightlog/report_573872_Aegean Airlines_609.htm
08/05/2023,Delta Air Lines,PHXPhoenix Sky Harbor International Airport - Arizona,BOSBoston Logan Int'l Airport - Massachusetts,8,../flightlog/report_573845_Delta Air Lines_667.htm
06/05/2023,Alaska Airlines,PDXPortland International - Oregon,SNASanta Ana John Wayne - California,6,../flightlog/report_573633_Alaska Airlines_1298.htm
05/05/2023,Qatar Airways,DOHDoha International ,CGKJakarta Soekarno - Hatta ,5,../flightlog/report_573514_Qatar Airways_956.htm
05/05/2023,TUI Airlines Belgium,ZTHZakinthos Island Dionysios Solomos ,CFUKerkyra Corfu ,7,../flightlog/report_602747_TUI Airlines Belgium_2433.htm
05/05/2023,TUI Airlines Belgium,CFUKerkyra Corfu ,BRUBrussels Brussels ,5,../flightlog/report_602748_TUI Airlines Belgium_2433.htm
04/05/2023,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,PHXPhoenix Sky Harbor International Airport - Arizona,9,../flightlog/report_573434_Delta Air Lines_707.htm
01/05/2023,United Airlines,EWRNew York Newark International - New York,LAXLos Angeles International - California,10,../flightlog/report_573325_United Airlines_2226.htm
01/05/2023,United Airlines,LAXLos Angeles International - California,LASLas Vegas Mccarran International - Nevada,9,../flightlog/report_573326_United Airlines_490.htm
30/04/2023,THY Turkish Airlines,ISTIstanbul New airport ,ESBAnkara Esenboga ,8,../flightlog/report_573296_THY Turkish Airlines_2190.htm
29/04/2023,JetBlue Airways,JFKNew York John F Kennedy Int'l - New York,SFOSan Francisco San Francisco International - California,10,../flightlog/report_604557_JetBlue Airways_1515.htm
