Date,Airline,Departure,Arrival,OverallRating,ReportLink
17/11/2022,Saudi Arabian Airlines,JEDJeddah King Abdul Aziz ,DOHDoha International ,10,../flightlog/report_582022_Saudi Arabian Airlines_546.htm
13/11/2022,Starlux Airlines,SINSingapore Changi ,TPETaipei Taoyuan International ,10,../flightlog/report_559787_Starlux Airlines_732.htm
07/11/2022,Azul Linhas Aereas,GRUSao Paulo Guarulhos Int'l ,CWBCuritiba Afonso Pena Int'l ,9,../flightlog/report_557471_Azul Linhas Aereas_4741.htm
01/11/2022,Emirates,NRTTokyo Narita ,DXBDubai  ,10,../flightlog/report_569696_Emirates_319.htm
30/10/2022,Qatar Airways,CGKJakarta Soekarno - Hatta ,DOHDoha International ,10,../flightlog/report_556569_Qatar Airways_957.htm
28/10/2022,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,AMSAmsterdam Schiphol ,8,../flightlog/report_556400_Delta Air Lines_48.htm
27/10/2022,LATAM Brasil,PVHPorto Velho  ,MAOManaus Eduardo Gomes Int'l ,8,../flightlog/report_556421_LATAM Brasil_3867.htm
27/10/2022,LATAM Brasil,MAOManaus Eduardo Gomes Int'l ,BSBBrasilia Presidente Juscelino Kubitschek Int'l ,8,../flightlog/report_556422_LATAM Brasil_3749.htm
27/10/2022,LATAM Brasil,BSBBrasilia Presidente Juscelino Kubitschek Int'l ,GRUSao Paulo Guarulhos Int'l ,8,../flightlog/report_556423_LATAM Brasil_3261.htm
27/10/2022,United Airlines,BUFBuffalo International - New York,ORDChicago O'Hare international - Illinois,5,../flightlog/report_618207_United Airlines_301.htm
26/10/2022,Azul Linhas Aereas,CWBCuritiba Afonso Pena Int'l ,GRUSao Paulo Guarulhos Int'l ,10,../flightlog/report_557207_Azul Linhas Aereas_2866.htm
24/10/2022,TUIfly,FUEFuerteventura  ,HAJHanover Langenhagen ,10,../flightlog/report_556064_TUIfly_2149.htm
21/10/2022,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,8,../flightlog/report_555842_Delta Air Lines_49.htm
21/10/2022,LATAM Brasil,GRUSao Paulo Guarulhos Int'l ,RBRRio Branco Pres. Medici ,6,../flightlog/report_556420_LATAM Brasil_3678.htm
20/10/2022,Emirates,DXBDubai  ,AMSAmsterdam Schiphol ,6,../flightlog/report_556262_Emirates_147.htm
19/10/2022,Air Europa,MADMadrid Adolfo Suárez ,LISLisbon Lisboa ,6,../flightlog/report_576838_Air Europa_1155.htm
18/10/2022,Air Europa,LISLisbon Lisboa ,MADMadrid Adolfo Suárez ,7,../flightlog/report_576839_Air Europa_1152.htm
17/10/2022,EVA Air,VIEVienna Schwechat ,TPETaipei Taoyuan International ,10,../flightlog/report_568860_EVA Air_66.htm
16/10/2022,SmartWings,HAJHanover Langenhagen ,FUEFuerteventura  ,6,../flightlog/report_555146_SmartWings_3524.htm
16/10/2022,Alaska Airlines,SFOSan Francisco San Francisco International - California,SNASanta Ana John Wayne - California,6,../flightlog/report_555262_Alaska Airlines_3319.htm
14/10/2022,Alaska Airlines,SNASanta Ana John Wayne - California,SFOSan Francisco San Francisco International - California,6,../flightlog/report_555106_Alaska Airlines_3494.htm
14/10/2022,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,6,../flightlog/report_555841_Vueling Airlines_8302.htm
11/10/2022,Indonesia AirAsia,SUBSurabaya Juanda ,DPSDenpessar - Bali Ngurah Rai International ,9,../flightlog/report_554552_Indonesia AirAsia_629.htm
09/10/2022,EasyJet,LPLLiverpool John Lennon Airport ,FAOFaro  ,10,../flightlog/report_572927_EasyJet_3427.htm
08/10/2022,Vueling Airlines,AMSAmsterdam Schiphol ,BCNBarcelona El Prat ,9,../flightlog/report_554984_Vueling Airlines_8305.htm
30/09/2022,Qatar Airways,DOHDoha International ,CGKJakarta Soekarno - Hatta ,10,../flightlog/report_553734_Qatar Airways_956.htm
25/09/2022,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,8,../flightlog/report_553648_Vueling Airlines_8304.htm
21/09/2022,Southwest Airlines,SJCSan Jose  - California,SNASanta Ana John Wayne - California,6,../flightlog/report_553317_Southwest Airlines_352.htm
14/09/2022,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,BCNBarcelona El Prat ,6,../flightlog/report_552854_Delta Air Lines_168.htm
14/09/2022,EasyJet,PFOPaphos  ,MANManchester Ringway International Airport ,7,../flightlog/report_552874_EasyJet_1974.htm
14/09/2022,WestJet Airlines,YYCCalgary Calgary Int'l - Alberta,YXXAbbotsford Abbotsford Airport - British Columbia,8,../flightlog/report_552803_WestJet Airlines_477.htm
12/09/2022,Eurowings,PMIPalma de Mallorca Son San Juan ,BERBerlin Brandenburg ,6,../flightlog/report_552756_Eurowings_8591.htm
10/09/2022,Eurowings,BERBerlin Brandenburg ,PMIPalma de Mallorca Son San Juan ,6,../flightlog/report_552466_Eurowings_8592.htm
08/09/2022,EasyJet,MANManchester Ringway International Airport ,PFOPaphos  ,8,../flightlog/report_552869_EasyJet_1973.htm
07/09/2022,WestJet Airlines,YXXAbbotsford Abbotsford Airport - British Columbia,YYCCalgary Calgary Int'l - Alberta,8,../flightlog/report_552274_WestJet Airlines_194.htm
06/09/2022,United Airlines,IAHHouston George Bush Int'l Airport - Texas,LASLas Vegas Mccarran International - Nevada,10,../flightlog/report_552267_United Airlines_1882.htm
06/09/2022,United Airlines,EWRNew York Newark International - New York,IAHHouston George Bush Int'l Airport - Texas,9,../flightlog/report_552266_United Airlines_1777.htm
05/09/2022,China Eastern Airlines,PVGShanghai Pu Dong ,JFKNew York John F Kennedy Int'l - New York,7,../flightlog/report_564252_China Eastern Airlines_587.htm
01/09/2022,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,8,../flightlog/report_552631_Delta Air Lines_47.htm
01/09/2022,Qatar Airways,CGKJakarta Soekarno - Hatta ,DOHDoha International ,9,../flightlog/report_551862_Qatar Airways_957.htm
31/08/2022,Air France,CDGParis Charles De Gaulle ,RNSRennes St Jacques ,10,../flightlog/report_551819_Air France_7676.htm
29/08/2022,Delta Air Lines,PDXPortland International - Oregon,DTWDetroit Wayne County - Michigan,10,../flightlog/report_551691_Delta Air Lines_1680.htm
29/08/2022,Air France,DTWDetroit Wayne County - Michigan,CDGParis Charles De Gaulle ,9,../flightlog/report_551816_Air France_377.htm
29/08/2022,Air France,JFKNew York John F Kennedy Int'l - New York,CDGParis Charles De Gaulle ,10,../flightlog/report_551918_Air France_15.htm
26/08/2022,Air France,CDGParis Charles De Gaulle ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_551917_Air France_22.htm
18/08/2022,TUI Airways,MANManchester Ringway International Airport ,HERHeraklion Nikos Kazantzakis ,7,../flightlog/report_550867_TUI Airways_2456.htm
16/08/2022,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,9,../flightlog/report_551002_Vueling Airlines_8309.htm
15/08/2022,Alaska Airlines,PDXPortland International - Oregon,SJCSan Jose  - California,7,../flightlog/report_550689_Alaska Airlines_1447.htm
14/08/2022,Air North,YXYWithehorse  - Yukon Territory,YVRVancouver  - British Columbia,9,../flightlog/report_551991_Air North_2563.htm
13/08/2022,Air France,RNSRennes St Jacques ,CDGParis Charles De Gaulle ,10,../flightlog/report_551689_Air France_7653.htm
13/08/2022,Air France,CDGParis Charles De Gaulle ,SEASeattle Tacoma Int'l - Washington,9,../flightlog/report_551690_Air France_338.htm
12/08/2022,EasyJet,EDIEdinburgh  ,PRGPrague Václava Havla Praha ,6,../flightlog/report_550440_EasyJet_6961.htm
12/08/2022,Alaska Airlines,LAXLos Angeles International - California,PDXPortland International - Oregon,7,../flightlog/report_550446_Alaska Airlines_531.htm
12/08/2022,All Nippon Airways,NRTTokyo Narita ,MEXMexico City Juarez Int'l ,10,../flightlog/report_550524_All Nippon Airways_180.htm
12/08/2022,Aeromexico Connect,MEXMexico City Juarez Int'l ,CPECampeche  ,8,../flightlog/report_550525_Aeromexico Connect_2442.htm
11/08/2022,Southwest Airlines,MKEMilwaukee General Mitchell Int'l  - Wisconsin,DENDenver International - Colorado,5,../flightlog/report_550389_Southwest Airlines_3075.htm
11/08/2022,Southwest Airlines,DENDenver International - Colorado,SNASanta Ana John Wayne - California,6,../flightlog/report_550420_Southwest Airlines_1381.htm
11/08/2022,Thai Smile,HKTPhuket Phuket International ,BKKBangkok Suvarnabhumi Airport ,10,../flightlog/report_550516_Thai Smile_284.htm
11/08/2022,Thai Airways,BKKBangkok Suvarnabhumi Airport ,NRTTokyo Narita ,10,../flightlog/report_550517_Thai Airways_642.htm
10/08/2022,Frontier Airlines,MCOOrlando International - Florida,ATLAtlanta Hartsfield Jackson International - Georgia,8,../flightlog/report_550411_Frontier Airlines_1015.htm
09/08/2022,Spirit Airlines,ATLAtlanta Hartsfield Jackson International - Georgia,MCOOrlando International - Florida,10,../flightlog/report_550403_Spirit Airlines_1209.htm
08/08/2022,Thai Airways,NRTTokyo Narita ,BKKBangkok Suvarnabhumi Airport ,10,../flightlog/report_569785_Thai Airways_643.htm
07/08/2022,Air North,YVRVancouver  - British Columbia,YXYWithehorse  - Yukon Territory,6,../flightlog/report_551965_Air North_542.htm
07/08/2022,British Airways,EZEBuenos Aires Ministro Pistarini ,GRUSao Paulo Guarulhos Int'l ,9,../flightlog/report_560271_British Airways_246.htm
06/08/2022,Southwest Airlines,SFOSan Francisco San Francisco International - California,PHXPhoenix Sky Harbor International Airport - Arizona,5,../flightlog/report_550095_Southwest Airlines_2321.htm
06/08/2022,Southwest Airlines,PHXPhoenix Sky Harbor International Airport - Arizona,MKEMilwaukee General Mitchell Int'l  - Wisconsin,7,../flightlog/report_550130_Southwest Airlines_3487.htm
06/08/2022,Egyptair,CAICairo Cairo International ,MXPMilan Malpensa ,9,../flightlog/report_568336_Egyptair_705.htm
05/08/2022,Lion Air,CGKJakarta Soekarno - Hatta ,KNOMedan  ,9,../flightlog/report_549988_Lion Air_300.htm
05/08/2022,Super Air Jet,KNOMedan  ,CGKJakarta Soekarno - Hatta ,9,../flightlog/report_550010_Super Air Jet_895.htm
04/08/2022,Rossiya,LEDSt Petersburg Pulkovo ,KGDKaliningrad Khrabrovo Airport ,8,../flightlog/report_549984_Rossiya_6331.htm
04/08/2022,Thai VietjetAir,CNXChiang Mai Chiang Mai Int'l ,HKTPhuket Phuket International ,10,../flightlog/report_550330_Thai VietjetAir_414.htm
03/08/2022,Air France,EZEBuenos Aires Ministro Pistarini ,CDGParis Charles De Gaulle ,10,../flightlog/report_549962_Air France_229.htm
03/08/2022,EasyJet,PRGPrague Václava Havla Praha ,EDIEdinburgh  ,6,../flightlog/report_550439_EasyJet_6962.htm
03/08/2022,SAS Scandinavian Airlines,ARNStockholm Arlanda ,GOTGothenburg Landvetter ,5,../flightlog/report_551138_SAS Scandinavian Airlines_161.htm
03/08/2022,British Airways,GOTGothenburg Landvetter ,LHRLondon Heathrow ,5,../flightlog/report_551139_British Airways_793.htm
02/08/2022,KLM,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_552560_KLM_641.htm
01/08/2022,Southwest Airlines,SNASanta Ana John Wayne - California,SJCSan Jose  - California,7,../flightlog/report_549877_Southwest Airlines_373.htm
28/07/2022,Thai Smile,BKKBangkok Suvarnabhumi Airport ,CNXChiang Mai Chiang Mai Int'l ,10,../flightlog/report_549572_Thai Smile_104.htm
27/07/2022,Ryanair,BLQBologna Guglielmo Marconi ,PRGPrague Václava Havla Praha ,5,../flightlog/report_549521_Ryanair_5004.htm
27/07/2022,British Airways,GRUSao Paulo Guarulhos Int'l ,EZEBuenos Aires Ministro Pistarini ,9,../flightlog/report_560272_British Airways_247.htm
26/07/2022,Ryanair,PRGPrague Václava Havla Praha ,BLQBologna Guglielmo Marconi ,6,../flightlog/report_549520_Ryanair_5005.htm
26/07/2022,Southwest Airlines,SJCSan Jose  - California,SNASanta Ana John Wayne - California,6,../flightlog/report_549472_Southwest Airlines_2567.htm
25/07/2022,Air Transat,YQBQuebec Quebec International (Jean-Lesage) - Quebec,CDGParis Charles De Gaulle ,9,../flightlog/report_549449_Air Transat_116.htm
24/07/2022,Rossiya,KGDKaliningrad Khrabrovo Airport ,LEDSt Petersburg Pulkovo ,10,../flightlog/report_549983_Rossiya_6322.htm
23/07/2022,Vueling Airlines,AMSAmsterdam Schiphol ,BCNBarcelona El Prat ,7,../flightlog/report_549266_Vueling Airlines_8301.htm
23/07/2022,Mahan Air,ISTIstanbul New airport ,IKAImam Khomeini  ,10,../flightlog/report_566847_Mahan Air_117.htm
20/07/2022,British Airways,CPHCopenhagen Kastrup ,LHRLondon Heathrow ,9,../flightlog/report_559743_British Airways_813.htm
20/07/2022,British Airways,LHRLondon Heathrow ,PHXPhoenix Sky Harbor International Airport - Arizona,9,../flightlog/report_559741_British Airways_289.htm
20/07/2022,TUIfly,PMIPalma de Mallorca Son San Juan ,HAJHanover Langenhagen ,8,../flightlog/report_549187_TUIfly_2315.htm
19/07/2022,Bangkok Airways,USMKoh Samui  ,BKKBangkok Suvarnabhumi Airport ,10,../flightlog/report_549090_Bangkok Airways_166.htm
18/07/2022,American Airlines,LGANew York La Guardia - New York,DCAWashington Ronald Reagan National - District of Columbia,9,../flightlog/report_549083_American Airlines_2116.htm
17/07/2022,Japan Airlines,NRTTokyo Narita ,BKKBangkok Suvarnabhumi Airport ,10,../flightlog/report_549002_Japan Airlines_707.htm
16/07/2022,KLM,ATHAthens Eleftherios Venizelos ,AMSAmsterdam Schiphol ,9,../flightlog/report_548835_KLM_1576.htm
16/07/2022,All Nippon Airways,MEXMexico City Juarez Int'l ,NRTTokyo Narita ,10,../flightlog/report_548844_All Nippon Airways_179.htm
15/07/2022,Aeromexico,MIDMerida  ,MEXMexico City Juarez Int'l ,10,../flightlog/report_548843_Aeromexico_835.htm
14/07/2022,TUI Airways,DSADoncaster Sheffield  ,CFUKerkyra Corfu ,9,../flightlog/report_549225_TUI Airways_3474.htm
14/07/2022,Delta Air Lines,SLCSalt Lake City International - Utah,RNOReno  - Nevada,7,../flightlog/report_548640_Delta Air Lines_2666.htm
14/07/2022,Delta Air Lines,CDCCedar City  - Utah,SLCSalt Lake City International - Utah,7,../flightlog/report_548639_Delta Air Lines_4289.htm
11/07/2022,Corendon Airlines,AYTAntalya Int'l ,DRSDresden Klotzsche Airport ,8,../flightlog/report_548496_Corendon Airlines_1271.htm
10/07/2022,Korean Air,UBNUlan Bator  ,ICNIncheon  ,9,../flightlog/report_548543_Korean Air_868.htm
10/07/2022,Korean Air,ICNIncheon  ,LAXLos Angeles International - California,10,../flightlog/report_548544_Korean Air_11.htm
08/07/2022,Vueling Airlines,BCNBarcelona El Prat ,ATHAthens Eleftherios Venizelos ,8,../flightlog/report_548310_Vueling Airlines_8100.htm
05/07/2022,TUIfly,HAJHanover Langenhagen ,PMIPalma de Mallorca Son San Juan ,8,../flightlog/report_548179_TUIfly_2314.htm
05/07/2022,Lufthansa,SINSingapore Changi ,MUCMunich Franz Josef Strauss ,7,../flightlog/report_548224_Lufthansa_791.htm
05/07/2022,Singapore Airlines,BKKBangkok Suvarnabhumi Airport ,SINSingapore Changi ,9,../flightlog/report_548223_Singapore Airlines_709.htm
05/07/2022,Sundair,DRSDresden Klotzsche Airport ,AYTAntalya Int'l ,5,../flightlog/report_548299_Sundair_5982.htm
30/06/2022,United Airlines,EWRNew York Newark International - New York,ORFNorfolk  - Virginia,10,../flightlog/report_547945_United Airlines_3600.htm
26/06/2022,Ural Airlines,DMEMoscow Domodedovo ,PESPetrozavodsk  ,8,../flightlog/report_547999_Ural Airlines_1835.htm
25/06/2022,Delta Air Lines,SLCSalt Lake City International - Utah,CDCCedar City  - Utah,7,../flightlog/report_547530_Delta Air Lines_4321.htm
25/06/2022,Delta Air Lines,SNASanta Ana John Wayne - California,SLCSalt Lake City International - Utah,6,../flightlog/report_547526_Delta Air Lines_1553.htm
22/06/2022,British Airways,LHRLondon Heathrow ,CPHCopenhagen Kastrup ,10,../flightlog/report_547403_British Airways_820.htm
22/06/2022,WestJet Encore,YEGEdmonton International - Alberta,YYCCalgary Calgary Int'l - Alberta,8,../flightlog/report_547293_WestJet Encore_3140.htm
22/06/2022,WestJet Encore,YYCCalgary Calgary Int'l - Alberta,YYFPenticton  - British Columbia,10,../flightlog/report_547371_WestJet Encore_3337.htm
22/06/2022,United Airlines,LASLas Vegas Mccarran International - Nevada,IAHHouston George Bush Int'l Airport - Texas,9,../flightlog/report_547354_United Airlines_1181.htm
22/06/2022,United Airlines,IAHHouston George Bush Int'l Airport - Texas,EWRNew York Newark International - New York,9,../flightlog/report_547355_United Airlines_1429.htm
21/06/2022,British Airways,PHXPhoenix Sky Harbor International Airport - Arizona,LHRLondon Heathrow ,10,../flightlog/report_547402_British Airways_288.htm
20/06/2022,THY Turkish Airlines,ISTIstanbul New airport ,MEXMexico City Juarez Int'l ,10,../flightlog/report_547181_THY Turkish Airlines_181.htm
20/06/2022,Aeromexico Connect,MEXMexico City Juarez Int'l ,CPECampeche  ,10,../flightlog/report_547182_Aeromexico Connect_2440.htm
20/06/2022,LATAM Brasil,CGHSao Paulo Congonhas Int'l ,CWBCuritiba Afonso Pena Int'l ,9,../flightlog/report_547107_LATAM Brasil_3056.htm
20/06/2022,Wizz Air,LGWLondon Gatwick ,VIEVienna Schwechat ,3,../flightlog/report_547083_Wizz Air_5703.htm
19/06/2022,THY Turkish Airlines,WAWWarsaw Okecie ,ISTIstanbul New airport ,10,../flightlog/report_547180_THY Turkish Airlines_1766.htm
18/06/2022,Emirates,MXPMilan Malpensa ,DXBDubai  ,7,../flightlog/report_546986_Emirates_206.htm
15/06/2022,Azul Linhas Aereas,CWBCuritiba Afonso Pena Int'l ,GRUSao Paulo Guarulhos Int'l ,9,../flightlog/report_547106_Azul Linhas Aereas_2866.htm
14/06/2022,Southwest Airlines,SJCSan Jose  - California,SNASanta Ana John Wayne - California,7,../flightlog/report_546745_Southwest Airlines_2567.htm
12/06/2022,THY Turkish Airlines,ISTIstanbul New airport ,WAWWarsaw Okecie ,10,../flightlog/report_546664_THY Turkish Airlines_1765.htm
11/06/2022,THY Turkish Airlines,MEXMexico City Juarez Int'l ,ISTIstanbul New airport ,10,../flightlog/report_546663_THY Turkish Airlines_181.htm
10/06/2022,Southwest Airlines,SNASanta Ana John Wayne - California,SJCSan Jose  - California,7,../flightlog/report_546328_Southwest Airlines_2638.htm
07/06/2022,Iberia Express,AMSAmsterdam Schiphol ,MADMadrid Adolfo Suárez ,8,../flightlog/report_546102_Iberia Express_3721.htm
05/06/2022,TUI Airlines Belgium,CRLCharleroi Charleroi Brussels-South ,ALCAlicante El Altet ,7,../flightlog/report_545874_TUI Airlines Belgium_1141.htm
02/06/2022,EasyJet Europe,VCEVenice Marco Polo ,ORYParis Orly ,8,../flightlog/report_546143_EasyJet Europe_4296.htm
02/06/2022,Iberia Express,MADMadrid Adolfo Suárez ,AMSAmsterdam Schiphol ,10,../flightlog/report_545990_Iberia Express_3724.htm
02/06/2022,Vueling Airlines,AMSAmsterdam Schiphol ,BCNBarcelona El Prat ,7,../flightlog/report_545683_Vueling Airlines_8307.htm
31/05/2022,Emirates,DXBDubai  ,MXPMilan Malpensa ,9,../flightlog/report_545549_Emirates_205.htm
30/05/2022,Emirates,SEZMahe Island  ,DXBDubai  ,8,../flightlog/report_545491_Emirates_708.htm
29/05/2022,TUIfly,LCALarnaca  ,HAJHanover Langenhagen ,8,../flightlog/report_545429_TUIfly_4565.htm
28/05/2022,EasyJet Europe,ORYParis Orly ,VCEVenice Marco Polo ,5,../flightlog/report_546142_EasyJet Europe_4291.htm
25/05/2022,Breeze Airways,SFOSan Francisco San Francisco International - California,RICRichmond  - Virginia,10,../flightlog/report_570044_Breeze Airways_117.htm
25/05/2022,Sundair,DRSDresden Klotzsche Airport ,DRSDresden Klotzsche Airport ,10,../flightlog/report_545086_Sundair_1960.htm
23/05/2022,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,AMSAmsterdam Schiphol ,9,../flightlog/report_545682_Delta Air Lines_48.htm
20/05/2022,American Airlines,DFWDallas Dallas Ft Worth - Texas,SFOSan Francisco San Francisco International - California,10,../flightlog/report_571623_American Airlines_1175.htm
15/05/2022,Azul Linhas Aereas,CNFBelo Horizonte Tancredo Neves Int'l ,CWBCuritiba Afonso Pena Int'l ,9,../flightlog/report_544470_Azul Linhas Aereas_4061.htm
13/05/2022,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_544843_Delta Air Lines_49.htm
13/05/2022,Azul Linhas Aereas,CWBCuritiba Afonso Pena Int'l ,CNFBelo Horizonte Tancredo Neves Int'l ,10,../flightlog/report_544469_Azul Linhas Aereas_4060.htm
09/05/2022,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,9,../flightlog/report_544063_Vueling Airlines_8309.htm
01/05/2022,United Airlines,ORDChicago O'Hare international - Illinois,LASLas Vegas Mccarran International - Nevada,10,../flightlog/report_543674_United Airlines_2479.htm
01/05/2022,British Airways,LHRLondon Heathrow ,ORDChicago O'Hare international - Illinois,8,../flightlog/report_543613_British Airways_295.htm
28/04/2022,Vueling Airlines,AMSAmsterdam Schiphol ,BCNBarcelona El Prat ,6,../flightlog/report_543481_Vueling Airlines_8307.htm
24/04/2022,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,AMSAmsterdam Schiphol ,7,../flightlog/report_543254_Delta Air Lines_48.htm
24/04/2022,ITA - Italia Trasporto Aereo,PMOPalermo Punta Raisi ,FCORome Fiumicino ,8,../flightlog/report_543187_ITA - Italia Trasporto Aereo_1782.htm
20/04/2022,United Airlines,IAHHouston George Bush Int'l Airport - Texas,EWRNew York Newark International - New York,9,../flightlog/report_543051_United Airlines_1429.htm
18/04/2022,Sundair,LEJLeipzig  ,LEJLeipzig  ,8,../flightlog/report_542960_Sundair_8796.htm
17/04/2022,LATAM Chile,PUQPunta Arenas Pres Ibanez ,SCLSantiago Arturo Merino Benitez ,10,../flightlog/report_542824_LATAM Chile_1160.htm
17/04/2022,Southwest Airlines,SJCSan Jose  - California,SNASanta Ana John Wayne - California,6,../flightlog/report_542867_Southwest Airlines_183.htm
17/04/2022,TUIfly,LPALas Palmas De Gran Canaria Gando ,HAJHanover Langenhagen ,9,../flightlog/report_542831_TUIfly_2263.htm
17/04/2022,LATAM Chile,LIMLima Jorge Chavez Int'l ,MEXMexico City Juarez Int'l ,10,../flightlog/report_543032_LATAM Chile_2472.htm
17/04/2022,Aeromexico Connect,MEXMexico City Juarez Int'l ,CPECampeche  ,10,../flightlog/report_543033_Aeromexico Connect_2442.htm
16/04/2022,Sky Airline,CUZCuzco  ,LIMLima Jorge Chavez Int'l ,10,../flightlog/report_543030_Sky Airline_5080.htm
15/04/2022,Southwest Airlines,SNASanta Ana John Wayne - California,SJCSan Jose  - California,7,../flightlog/report_542685_Southwest Airlines_436.htm
13/04/2022,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_542592_Delta Air Lines_49.htm
13/04/2022,Sky Airline,LIMLima Jorge Chavez Int'l ,CUZCuzco  ,9,../flightlog/report_542713_Sky Airline_5005.htm
12/04/2022,Philippines AirAsia,MNLManila Ninoy Aquino Int'l ,BCDBacolod  ,9,../flightlog/report_542495_Philippines AirAsia_603.htm
10/04/2022,United Airlines,MEXMexico City Juarez Int'l ,EWRNew York Newark International - New York,10,../flightlog/report_562784_United Airlines_2252.htm
10/04/2022,Trade Air,HAJHanover Langenhagen ,LPALas Palmas De Gran Canaria Gando ,5,../flightlog/report_542384_Trade Air_2262.htm
09/04/2022,Aeromexico Connect,CPECampeche  ,MEXMexico City Juarez Int'l ,10,../flightlog/report_542360_Aeromexico Connect_2441.htm
09/04/2022,LATAM Chile,MEXMexico City Juarez Int'l ,LIMLima Jorge Chavez Int'l ,10,../flightlog/report_542361_LATAM Chile_2471.htm
08/04/2022,Virgin Atlantic,LHRLondon Heathrow ,BOSBoston Logan Int'l Airport - Massachusetts,8,../flightlog/report_543754_Virgin Atlantic_11.htm
30/03/2022,Aeromexico,MADMadrid Adolfo Suárez ,MEXMexico City Juarez Int'l ,10,../flightlog/report_541924_Aeromexico_22.htm
30/03/2022,Air France,MADMadrid Adolfo Suárez ,CDGParis Charles De Gaulle ,9,../flightlog/report_541692_Air France_1001.htm
29/03/2022,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,8,../flightlog/report_541712_Vueling Airlines_8304.htm
27/03/2022,United Airlines,GRBAustin  - Wisconsin,ORDChicago O'Hare international - Illinois,8,../flightlog/report_541561_United Airlines_4759.htm
27/03/2022,United Airlines,ORDChicago O'Hare international - Illinois,SFOSan Francisco San Francisco International - California,7,../flightlog/report_541581_United Airlines_1850.htm
27/03/2022,United Airlines,SFOSan Francisco San Francisco International - California,MRYMonterey  - California,8,../flightlog/report_541586_United Airlines_5479.htm
24/03/2022,Aeromexico Connect,MIDMerida  ,NLUMexico City  - Felipe Angeles International,10,../flightlog/report_541364_Aeromexico Connect_875.htm
24/03/2022,Aeromexico,MEXMexico City Juarez Int'l ,MADMadrid Adolfo Suárez ,10,../flightlog/report_541923_Aeromexico_21.htm
23/03/2022,American Airlines,SJCSan Jose  - California,PHXPhoenix Sky Harbor International Airport - Arizona,5,../flightlog/report_541256_American Airlines_2059.htm
23/03/2022,American Airlines,PHXPhoenix Sky Harbor International Airport - Arizona,MSNMadison Dane County Regional-Truax Field - Wisconsin,5,../flightlog/report_541257_American Airlines_854.htm
19/03/2022,United Airlines,SLCSalt Lake City International - Utah,ORDChicago O'Hare international - Illinois,8,../flightlog/report_540856_United Airlines_2046.htm
18/03/2022,Spirit Airlines,LASLas Vegas Mccarran International - Nevada,SNASanta Ana John Wayne - California,6,../flightlog/report_540798_Spirit Airlines_871.htm
17/03/2022,United Airlines,EWRNew York Newark International - New York,AUSAustin Bergstrom - Texas,7,../flightlog/report_545670_United Airlines_1169.htm
17/03/2022,Spirit Airlines,SNASanta Ana John Wayne - California,LASLas Vegas Mccarran International - Nevada,7,../flightlog/report_540750_Spirit Airlines_1699.htm
16/03/2022,Air France,MIAMiami Miami Int'l - Florida,CDGParis Charles De Gaulle ,6,../flightlog/report_541219_Air France_95.htm
15/03/2022,Iberia,BCNBarcelona El Prat ,MADMadrid Adolfo Suárez ,8,../flightlog/report_540710_Iberia_3021.htm
15/03/2022,Iberia Express,MADMadrid Adolfo Suárez ,MANManchester Ringway International Airport ,5,../flightlog/report_540711_Iberia Express_3692.htm
14/03/2022,Vueling Airlines,AMSAmsterdam Schiphol ,BCNBarcelona El Prat ,9,../flightlog/report_540611_Vueling Airlines_8308.htm
11/03/2022,EasyJet,MANManchester Ringway International Airport ,BCNBarcelona El Prat ,8,../flightlog/report_540700_EasyJet_1943.htm
09/03/2022,Qatar Airways,DOHDoha International ,IAHHouston George Bush Int'l Airport - Texas,10,../flightlog/report_540133_Qatar Airways_713.htm
09/03/2022,United Airlines,IAHHouston George Bush Int'l Airport - Texas,MIDMerida  ,10,../flightlog/report_540134_United Airlines_1426.htm
08/03/2022,Qatar Airways,MLEMale  ,DOHDoha International ,10,../flightlog/report_540132_Qatar Airways_673.htm
06/03/2022,Air France,CDGParis Charles De Gaulle ,MIAMiami Miami Int'l - Florida,9,../flightlog/report_541218_Air France_92.htm
05/03/2022,Luxair,TFSTenerife Sur Reina Sofia ,LUXLuxembourg Findel ,9,../flightlog/report_539965_Luxair_156.htm
