Lex-analyzer started at: 2024-11-18 23:18:32.193137

Token: RPAREN, Value: ), Line: 31
Token: LBRACE, Value: {, Line: 31
Token: PRINT, Value: print, Line: 32
Token: LPAREN, Value: (, Line: 32
Token: STRING_LITERAL, Value: "Número: ${numeros[i]}", Line: 32
Token: RPAREN, Value: ), Line: 32
Token: SEMICOLON, Value: ;, Line: 32
Token: RBRACE, Value: }, Line: 33
Token: PRINT, Value: print, Line: 35
Token: LPAREN, Value: (, Line: 35
Token: STRING_LITERAL, Value: "Edad: $edad", Line: 35
Token: RPAREN, Value: ), Line: 35
Token: SEMICOLON, Value: ;, Line: 35
Token: PRINT, Value: print, Line: 36
Token: LPAREN, Value: (, Line: 36
Token: STRING_LITERAL, Value: "Altura: $altura", Line: 36
Token: RPAREN, Value: ), Line: 36
Token: SEMICOLON, Value: ;, Line: 36
Token: PRINT, Value: print, Line: 37
Token: LPAREN, Value: (, Line: 37
Token: STRING_LITERAL, Value: "Peso: $peso", Line: 37
Token: RPAREN, Value: ), Line: 37
Token: SEMICOLON, Value: ;, Line: 37
Token: PRINT, Value: print, Line: 38
Token: LPAREN, Value: (, Line: 38
Token: STRING_LITERAL, Value: "Nombre: $nombre", Line: 38
Token: RPAREN, Value: ), Line: 38
Token: SEMICOLON, Value: ;, Line: 38
Token: PRINT, Value: print, Line: 39
Token: LPAREN, Value: (, Line: 39
Token: STRING_LITERAL, Value: "Apellido: $apellido", Line: 39
Token: RPAREN, Value: ), Line: 39
Token: SEMICOLON, Value: ;, Line: 39
Token: RBRACE, Value: }, Line: 40

Lex-analyzer finished at: 2024-11-18 23:18:32.232680
