Lex-analyzer started at: 2024-11-12 09:27:08.025996

Token: SEMICOLON, Value: ;, Line: 30
Token: RBRACE, Value: }, Line: 31
Token: WHILE, Value: while, Line: 33
Token: LPAREN, Value: (, Line: 33
Token: VARIABLE, Value: result, Line: 33
Token: LESS_THAN, Value: <, Line: 33
Token: NUMBER, Value: 3, Line: 33
Token: RPAREN, Value: ), Line: 33
Token: LBRACE, Value: {, Line: 33
Token: VARIABLE, Value: result, Line: 34
Token: INCREMENT, Value: ++, Line: 34
Token: SEMICOLON, Value: ;, Line: 34
Token: RBRACE, Value: }, Line: 35
Token: RBRACE, Value: }, Line: 38

Lex-analyzer finished at: 2024-11-12 09:27:08.124765
